Proteins,isoelectric point,negatively charged particle,positively charged particle,absorbance
YER163C,5.75616,30,22,1.21172
YER164W,6.10309,242,225,0.99145
YER165W,5.70844,78,69,0.62392
YER166W,5.73163,201,178,1.23448
YER167W,7.72565,87,88,0.48828
YER168C,8.31549,65,68,0.8078
YER169W,9.17401,84,104,0.99201
YER170W,8.92206,28,31,0.90975
YER171W,5.41156,119,99,0.81077
YER172C,5.34161,304,242,1.03488
YER173W,6.00421,92,84,0.93977
YER174C,4.56525,42,24,0.62599
YER175C,5.86774,47,42,1.71811
YER177W,4.81793,45,28,0.96806
YER178W,8.2879,48,51,1.05012
YER179W,5.67072,45,39,0.38676
YER180C,4.88666,52,36,0.8877
YER181C,8.57404,4,6,0.5085
YER184C,8.05426,89,94,1.3071
YER186C,6.94952,45,45,1.25351
YER188W,4.7984,29,15,2.17688
YFL002C,9.11151,81,94,0.82957
YFL003C,6.95172,109,108,0.5735
YFL004W,6.33368,125,120,0.9835
YFL005W,6.61053,26,26,0.73749
YFL007W,5.58099,285,231,0.97625
YFL008W,6.11298,205,194,0.54396
YFL009W,6.66925,81,77,1.16438
YFL010C,4.26068,23,10,1.95763
YFL011W,9.10846,35,48,1.76834
YFL012W,9.29962,18,24,0.92233
YFL013C,5.06268,122,97,0.41091
YFL014W,5.22028,22,18,0.50973
YFL016C,9.30646,53,71,0.56911
YFL017C,5.12286,24,19,1.20928
YFL017W-A,5.14557,10,8,0.35134
YFL018C,8.07428,62,64,0.38928
YFL020C,4.70673,11,6,1.24014
YFL021W,8.8111,41,47,0.66469
YFL022C,5.53033,73,60,0.9646
YFL023W,4.63177,187,116,0.38613
YFL024C,8.80182,121,130,0.64975
YFL025C,6.26923,98,89,1.25427
YFL026W,6.44391,34,33,0.94173
YFL027C,8.81256,58,65,1.03336
YFL029C,5.56744,50,42,1.0014
YFL030W,8.117,36,38,1.02967
YFL033C,6.01495,205,180,0.64339
YFL034C-B,9.59918,21,30,1.06415
YFL034W,5.11835,168,127,0.87194
YFL036W,8.92279,165,181,0.99114
YFL037W,4.6441,65,34,0.96441
YFL038C,5.16888,29,25,1.07306
YFL039C,5.44318,47,36,1.04008
YFL040W,8.76678,38,46,1.57319
YFL041W,4.98785,81,43,1.2795
YFL042C,4.92316,106,74,0.93908
YFL044C,5.1402,41,30,0.65071
YFL045C,5.13556,41,32,0.85282
YFL047W,5.5473,102,85,0.82553
YFL048C,5.74969,57,54,1.07511
YFL049W,8.77069,71,77,0.74066
YFL050C,6.27802,109,101,0.87348
YFL051C,4.63763,19,12,1.87603
YFL052W,6.4715,57,55,1.30654
YFL054C,8.56317,65,69,1.44384
YFL055W,7.10944,41,41,1.75026
YFL056C,6.90289,23,23,2.06139
YFL059W,5.40021,41,33,0.50268
YFL060C,7.04327,26,26,0.81829
YFL061W,5.65887,25,20,1.20407
YFL062W,8.98615,40,49,2.54593
YFL063W,9.43597,2,10,1.05189
YFL065C,9.32587,11,17,0.54817
YFL066C,7.0014,49,49,1.06107
YFL067W,6.11102,10,10,0
YFR001W,10.31281,30,61,0.18949
YFR002W,6.37543,108,103,0.99077
YFR003C,5.80597,30,26,0.65075
YFR004W,5.81354,42,36,0.91648
YFR006W,5.78265,83,70,0.95558
YFR008W,5.74188,31,26,0.40247
YFR009W,5.85931,111,98,0.68667
YFR010W,6.71246,72,71,0.74339
YFR011C,5.40338,27,25,0.32936
YFR013W,7.60822,116,117,0.98135
YFR014C,5.81647,74,67,0.83496
YFR015C,5.66754,98,80,1.13111
YFR016C,4.39728,319,158,0.18091
YFR017C,6.65192,23,22,0.35349
YFR018C,5.1181,49,29,1.45586
YFR019W,8.57147,263,280,0.85449
YFR021W,5.32733,59,46,0.49581
YFR022W,8.54083,67,73,0.59969
YFR024C-A,7.65741,59,60,0.99192
YFR026C,6.09686,15,14,1.33766
YFR027W,9.9361,24,45,1.60951
YFR028C,8.04034,59,61,0.87496
YFR029W,7.23309,77,77,0.68899
YFR030W,5.15399,135,105,0.92635
YFR031C,6.83356,184,182,0.43199
YFR033C,3.97906,58,12,0.67857
YFR034C,7.25238,38,38,0.5012
YFR036W,4.51569,24,10,0.31746
YFR037C,5.24176,94,72,0.77944
YFR039C,4.66949,92,53,1.30612
YFR040W,4.55841,175,98,0.66813
YFR042W,9.65485,9,21,1.9567
YFR043C,4.82196,39,22,1.37849
YFR044C,5.42706,62,51,0.95469
YFR045W,9.85175,16,33,0.60409
YFR047C,5.55341,37,30,1.25276
YFR049W,9.5528,10,16,0.7466
YFR050C,5.66974,28,25,1.21829
YFR051C,5.05634,77,53,0.57672
YFR052W,4.80426,43,29,1.1277
YFR053C,5.28082,71,57,0.86234
YGL001C,6.20538,41,37,1.25368
YGL003C,8.80963,59,65,1.15567
YGL004C,5.06146,58,40,0.7574
YGL005C,4.56537,48,29,0.77215
YGL006W,7.15924,137,137,0.76322
YGL008C,4.96051,113,81,1.16851
YGL009C,5.60541,110,93,0.82413
YGL010W,9.51373,11,17,0.7282
YGL011C,5.89081,32,29,0.90159
YGL012W,8.82257,32,42,3.00005
YGL014W,6.13275,86,73,0.47696
YGL015C,6.41705,17,16,0.96787
YGL016W,4.90448,116,77,1.06946
YGL017W,5.92291,67,59,1.52003
YGL018C,7.79596,25,26,1.37917
YGL019W,4.51825,58,28,1.2709
YGL021W,9.62006,77,108,0.84335
YGL022W,8.02448,62,64,2.10057
YGL023C,7.64752,80,81,0.63569
YGL024W,9.36407,3,9,0.53932
YGL025C,8.75714,26,29,0.21333
YGL026C,6.05341,82,72,0.73977
YGL027C,4.95807,123,84,1.72622
YGL028C,4.34064,46,21,0.70156
YGL029W,10.44415,20,42,0.86635
YGL030W,9.80194,7,15,0.78316
YGL032C,6.51752,4,4,0.6694
YGL035C,9.7995,38,55,0.16999
YGL036W,5.69781,92,75,0.88629
YGL037C,5.8056,33,25,1.70648
YGL038C,7.18549,56,56,1.58544
YGL040C,5.74835,43,36,0.87401
YGL042C,7.80487,5,6,2.94047
YGL043W,9.01093,41,50,0.72568
YGL044C,4.92328,32,25,0.62335
YGL045W,9.23871,61,75,0.67512
YGL047W,5.58319,23,19,0.67032
YGL048C,9.08636,55,63,0.27435
YGL049C,7.30499,136,136,0.79246
YGL050W,8.14642,38,40,0.81267
YGL051W,7.71686,26,27,1.69194
YGL053W,5.01215,32,23,1.48185
YGL054C,6.39288,11,10,1.36097
YGL055W,9.0257,51,60,2.03348
YGL057C,9.51996,27,35,1.06042
YGL058W,4.19684,40,17,1.22174
YGL059W,8.03253,56,58,1.06112
YGL060W,5.1524,82,59,0.8718
YGL061C,9.96271,22,36,0.62189
YGL062W,5.83636,152,131,0.70478
YGL064C,9.94952,53,89,0.62911
YGL066W,9.03473,70,81,0.39416
YGL068W,9.17609,24,28,0.26635
YGL069C,4.48163,14,8,0.13927
YGL070C,7.55402,16,17,0.38284
YGL071W,6.39349,83,72,0.42301
YGL072C,9.29913,5,10,1.11595
YGL073W,5.20404,111,81,0.59337
YGL075C,8.28314,52,54,0.9566
YGL077C,6.39178,40,36,1.81789
YGL079W,4.24518,44,19,0.24895
YGL081W,5.00897,57,40,0.49698
YGL083W,8.29205,86,90,0.78297
YGL084C,9.49628,38,57,2.16517
YGL085W,10.01996,26,49,2.27737
YGL086W,5.32245,125,108,0.69247
YGL087C,6.29803,19,18,1.11519
YGL090W,4.86249,86,63,0.57358
YGL091C,4.48322,52,27,0.91666
YGL092W,5.55316,155,138,0.78539
YGL093W,5.117,158,123,0.45271
YGL094C,6.2486,133,123,1.0554
YGL095C,5.90106,84,76,0.67797
YGL096W,10.2276,17,34,0.78095
YGL097W,5.71539,66,54,1.16037
YGL098W,5.15167,37,30,0.63616
YGL099W,8.8399,92,100,0.9665
YGL100W,5.31378,50,37,2.05535
YGL102C,4.39142,13,5,2.06337
YGL104C,9.28937,25,39,1.47642
YGL105W,7.68939,57,58,0.64883
YGL106W,4.55304,28,19,0.36244
YGL111W,7.63287,67,68,0.85279
YGL112C,5.26898,68,53,0.70102
YGL113W,9.67133,83,120,0.84305
YGL114W,6.23126,57,54,1.47666
YGL115W,5.51605,41,36,0.6151
YGL116W,8.99945,62,73,1.27065
YGL117W,7.14557,34,34,0.50073
YGL119W,9.37592,59,76,0.79484
YGL120C,5.99799,112,99,0.70894
YGL121C,4.66388,23,13,1.33631
YGL122C,8.48969,51,58,0.29261
YGL124C,6.92084,73,72,0.7271
YGL126W,9.86249,18,36,2.60072
YGL127C,4.44501,13,7,2.22547
YGL128C,5.71613,39,28,1.13157
YGL129C,9.72943,39,65,0.74598
YGL130W,5.5816,67,58,1.17221
YGL131C,8.83661,172,207,1.27358
YGL132W,8.8244,7,10,2.31721
YGL133W,5.49921,209,182,1.01915
YGL134W,4.82367,69,44,0.38428
YGL137W,4.62714,138,81,1.60815
YGL138C,9.36871,34,48,1.27224
YGL139W,7.15802,68,68,1.49735
YGL141W,6.04547,127,117,1.03004
YGL142C,8.50958,58,62,1.80087
YGL144C,5.66608,88,73,1.19553
YGL145W,5.94232,83,75,1.00172
YGL146C,6.53448,33,32,0.67482
YGL147C,9.73114,20,31,0.42028
YGL148W,7.659,45,46,0.30719
YGL149W,9.05731,2,5,0.76042
YGL150C,5.52386,245,209,0.87945
YGL151W,5.00433,147,106,0.74923
YGL153W,4.78644,65,48,0.80531
YGL154C,4.69403,35,23,0.91028
YGL155W,5.90387,46,38,1.12359
YGL156W,6.8443,135,132,1.71622
YGL157W,5.61444,44,37,0.69427
YGL158W,5.27032,74,57,1.1347
YGL161C,4.78668,34,23,1.26683
YGL163C,9.14935,111,134,0.75069
YGL165C,7.51007,15,16,1.61381
YGL166W,7.97333,27,29,0.24442
YGL168W,9.33722,5,9,0.92572
YGL169W,6.77142,50,49,0.50593
YGL170C,5.84723,58,50,0.90641
YGL171W,9.22931,78,95,0.40117
YGL172W,5.77325,32,28,0.15669
YGL173C,7.04279,206,203,0.91281
YGL174W,9.3111,41,50,0.93267
YGL175C,6.17084,56,53,0.66153
YGL177W,10.14557,8,23,0.97412
YGL178W,8.17694,58,61,0.39865
YGL179C,7.14471,61,61,0.70124
YGL180W,6.18842,116,105,0.73921
YGL181W,7.04706,43,43,0.8554
YGL183C,9.45673,32,46,0.8979
YGL184C,8.21698,49,52,0.68747
YGL185C,8.19708,49,52,0.83182
YGL187C,6.4129,19,18,1.10545
YGL189C,10.76141,9,31,0.47835
YGL190C,5.95782,69,60,0.93821
YGL192W,8.24347,67,71,1.53274
YGL194C,4.99799,67,42,0.89924
YGL195W,5.16144,358,283,0.54514
YGL197W,7.13043,176,175,0.82668
YGL198W,6.49835,17,16,1.68993
YGL200C,6.3006,24,22,0.99841
YGL201C,5.03192,154,115,0.5641
YGL202W,5.68182,62,53,1.37565
YGL204C,10.35406,2,11,1.50521
YGL205W,8.63776,84,91,1.15051
YGL206C,5.11371,227,170,0.97766
YGL207W,4.99261,176,138,0.93396
YGL208W,5.43573,59,49,0.75166
YGL210W,5.32062,30,25,1.0108
YGL212W,8.46173,53,55,0.88679
YGL213C,5.315,54,38,1.47102
YGL214W,7.71735,12,13,0.58376
YGL215W,6.58917,27,25,1.32228
YGL216W,6.6629,104,101,0.45796
YGL217C,4.89362,9,7,0.58801
YGL220W,8.43915,17,19,1.22926
YGL221C,7.0722,32,32,1.35317
YGL222C,10.87115,6,28,0.23886
YGL223C,5.12445,55,40,0.69337
YGL225W,9.40558,13,24,1.35447
YGL226C-A,9.16827,3,6,0.79594
YGL226W,9.47552,14,19,2.52389
YGL227W,4.48077,170,98,0.88738
YGL229C,4.62933,140,76,0.77406
YGL230C,8.54205,15,18,1.4503
YGL233W,4.80035,134,93,0.74351
YGL234W,5.08099,93,66,0.70375
YGL236C,8.52301,69,74,0.71314
YGL237C,8.63409,34,36,0.34922
YGL238W,5.09149,112,84,0.72224
YGL240W,5.383,34,23,1.14
YGL241W,4.54706,152,87,0.66147
YGL242C,4.01031,47,14,0.50913
YGL244W,5.26288,124,104,0.65282
YGL245W,7.21466,108,108,1.25115
YGL246C,6.14154,58,54,1.01609
YGL247W,8.35919,22,24,1.31319
YGL249W,8.48541,98,105,1.28437
YGL250W,4.27069,55,22,0.38093
YGL251C,7.68304,148,150,0.79529
YGL252C,8.16779,73,76,1.04497
YGL253W,5.16132,66,54,0.85907
YGL254W,7.95197,34,36,1.01166
YGL256W,5.75922,44,35,0.48904
YGL258W,4.36359,18,8,0.93402
YGL259W,4.74957,13,9,0.67791
YGL263W,8.59979,36,41,2.37283
YGR002C,9.35541,62,77,0.90741
YGR003W,5.8808,100,89,1.14836
YGR004W,9.34198,45,55,1.72981
YGR005C,6.71698,73,72,0.84165
YGR009C,5.02606,103,81,0.65537
YGR010W,5.57635,53,41,0.9094
YGR013W,4.87299,128,85,0.57214
YGR014W,4.06317,88,27,0.61917
YGR016W,8.98676,20,25,1.36822
YGR017W,4.53046,61,34,1.23823
YGR018C,7.71063,7,8,1.56464
YGR020C,4.97968,22,15,0.22138
YGR021W,5.34027,41,35,0.46342
YGR023W,4.48761,43,22,0.76755
YGR024C,8.39325,27,30,1.31933
YGR026W,9.89655,18,42,2.46419
YGR028W,5.52826,50,46,0.75069
YGR029W,8.45966,26,29,1.9728
YGR031W,8.94415,39,45,0.79291
YGR032W,6.58807,193,184,1.65669
YGR033C,10.14618,20,42,1.10402
YGR034W,10.4671,13,30,0.31403
YGR035C,10.33026,11,20,0.12512
YGR037C,4.84906,17,13,1.83377
YGR038W,6.14594,21,18,1.84338
YGR040W,5.40082,54,42,1.31407
YGR041W,6.26154,63,58,0.62321
YGR042W,9.74005,30,44,0.56551
YGR045C,9.41595,7,14,0.69184
YGR046W,9.61871,34,54,1.12061
YGR047C,5.13934,181,142,1.14462
YGR048W,5.95197,47,45,0.40643
YGR049W,8.81036,12,17,0.83531
YGR052W,6.15424,45,41,1.66187
YGR053C,9.23444,33,44,0.73898
YGR054W,9.039,66,79,1.1986
YGR055W,7.53583,39,40,1.77917
YGR056W,6.09821,123,113,0.92591
YGR057C,6.38971,30,28,0.88979
YGR058W,9.25909,36,44,0.79861
YGR059W,7.07428,80,80,0.82898
YGR060W,8.17413,24,26,2.64332
YGR061C,5.1452,165,123,0.95659
YGR063C,5.1076,13,9,1.32017
YGR064W,9.81342,4,15,0.88044
YGR065C,9.02191,51,66,2.67429
YGR066C,5.16522,43,29,1.58719
YGR067C,7.0672,77,76,1.10593
YGR068C,8.49115,62,66,0.69583
YGR070W,9.17377,114,146,0.63051
YGR071C,5.59503,111,85,0.61708
YGR072W,9.88507,52,91,0.43207
YGR073C,9.34467,3,11,0.69778
YGR074W,11.00006,9,22,0.52106
YGR075C,5.15411,32,22,1.24721
YGR076C,10.0423,15,36,1.0174
YGR078C,4.77826,37,26,0.81441
YGR079W,5.39301,51,42,0.58212
YGR080W,5.54901,42,37,0.36849
YGR081C,9.95807,29,43,0.06191
YGR082W,5.60736,24,22,0.5867
YGR083C,9.44098,66,86,0.39364
YGR084C,9.44904,37,48,1.16717
YGR085C,9.91901,21,33,0.66205
YGR086C,4.54095,70,40,0.89651
YGR087C,5.80231,60,51,1.03857
YGR088W,6.08636,69,61,1.35184
YGR089W,8.74481,101,111,0.46494
YGR090W,8.60516,137,147,0.80028
YGR091W,8.12823,64,66,0.54012
YGR092W,8.86163,74,82,0.96769
YGR094W,6.52338,161,155,1.52085
YGR095C,4.75421,31,20,0.10202
YGR097W,9.32465,98,127,0.7287
YGR098C,8.46515,173,186,0.90528
YGR099W,6.22491,91,85,0.75242
YGR100W,5.25104,142,114,0.95545
YGR101W,10.28839,9,33,2.14415
YGR102C,9.57587,21,31,1.23589
YGR103W,5.48285,113,101,0.79111
YGR104C,4.84406,35,24,0.92306
YGR108W,5.65082,71,61,1.0082
YGR109C,8.34808,48,52,0.96829
YGR110W,9.51508,49,67,1.68982
YGR111W,5.94781,58,50,1.6834
YGR113W,9.19806,44,50,0.37909
YGR114C,9.65619,5,12,0.5913
YGR115C,6.30292,18,18,0.60012
YGR116W,4.89105,277,190,0.90478
YGR117C,6.80096,50,49,0.96178
YGR119C,9.58783,33,46,0.63594
YGR120C,4.50702,49,25,0.50784
YGR121C,5.34979,43,33,2.32927
YGR122W,8.4455,40,44,0.94538
YGR123C,7.59369,65,66,0.62015
YGR124W,5.53375,85,66,1.46155
YGR126W,5.95319,39,32,0.2306
YGR129W,9.33795,38,46,0.70235
YGR130C,4.96429,160,116,0.51194
YGR131W,9.909,4,14,0.70879
YGR133W,5.35358,24,18,1.83161
YGR134W,4.97711,165,115,0.97831
YGR135W,5.06049,39,31,1.0218
YGR136W,5.1214,22,19,1.10488
YGR139W,9.90167,5,22,1.66481
YGR140W,5.81818,143,124,1.00964
YGR141W,8.2691,58,61,2.76339
YGR142W,5.08978,84,65,0.57212
YGR144W,5.81757,35,27,0.79107
YGR145W,6.19391,124,118,0.88538
YGR146C,5.58295,28,21,0.74678
YGR148C,11.36993,13,46,0.39835
YGR149W,8.69879,42,48,1.81205
YGR151C,11.75421,3,22,0.64696
YGR152C,9.22357,33,40,0.58144
YGR153W,5.31854,39,31,0.89118
YGR154C,8.9079,44,50,1.32433
YGR155W,6.24921,69,66,0.82049
YGR156W,5.90753,37,34,0.39536
YGR158C,4.84479,34,23,0.60033
YGR159C,4.88031,84,62,0.45055
YGR160W,3.16193,64,2,0.33208
YGR161C,9.99261,30,42,0.1613
YGR161C-D,8.59967,187,200,0.97506
YGR162W,5.79889,159,145,0.68413
YGR163W,4.57318,50,29,0.69586
YGR165W,9.88361,32,54,0.88352
YGR166W,8.9588,48,57,0.91807
YGR167W,4.31305,64,33,0.52693
YGR168C,10.30719,18,58,1.40811
YGR170W,7.9682,147,150,0.97656
YGR172C,6.00409,10,7,0.91064
YGR173W,8.71539,48,53,0.79221
YGR174C,9.15265,22,25,2.45099
YGR175C,6.04376,61,55,0.62086
YGR178C,6.42572,90,84,0.56454
YGR179C,6.07794,72,65,0.61258
YGR180C,5.10919,55,42,1.15069
YGR181W,8.38409,9,11,0.92772
YGR182C,9.3891,7,14,1.42596
YGR184C,5.33209,280,215,0.92354
YGR185C,8.56757,48,52,0.57634
YGR186W,5.5755,131,119,0.54262
YGR187C,4.61932,78,47,0.50644
YGR188C,6.28265,139,131,0.97971
YGR189C,4.46356,50,29,1.24286
YGR191W,7.06793,50,50,1.43889
YGR192C,6.45758,39,37,0.92709
YGR193C,5.5484,59,53,0.48808
YGR194C,6.37677,77,72,1.07077
YGR195W,7.9422,32,33,0.46988
YGR196C,4.47968,174,93,0.68169
YGR197C,8.71149,45,51,1.59228
YGR198W,5.23859,110,86,1.22577
YGR199W,6.36078,71,63,2.30838
YGR200C,5.35797,114,87,1.79729
YGR202C,8.80219,69,75,0.67583
YGR203W,7.01398,19,19,2.29993
YGR204W,6.3736,107,100,0.42234
YGR205W,5.24884,39,30,1.25598
YGR207C,8.58698,37,40,0.2561
YGR208W,5.06451,46,36,0.53849
YGR209C,4.79156,13,10,1.04519
YGR210C,8.40143,51,54,1.04029
YGR211W,4.7691,85,55,0.65833
YGR213C,7.67682,23,24,0.95039
YGR214W,4.64508,40,22,1.30477
YGR215W,10.2132,11,27,0.48094
YGR217W,8.62543,196,213,1.45245
YGR218W,5.32135,139,110,0.94011
YGR220C,10.18085,19,42,0.72776
YGR222W,9.16449,37,44,1.25069
YGR223C,9.2287,47,59,1.16913
YGR224W,9.12299,32,44,1.13767
YGR225W,8.60651,62,70,1.25742
YGR227W,9.4339,27,45,1.91336
YGR228W,6.47504,2,2,0.07338
YGR229C,4.59027,94,50,1.0602
YGR232W,5.97614,28,23,1.3839
YGR233C,5.53253,155,125,0.67736
YGR234W,5.8576,51,41,0.9712
YGR236C,8.0058,10,11,0.70649
YGR237C,9.09564,108,121,0.60136
YGR238C,8.23578,116,120,0.88358
YGR239C,6.21564,39,35,0.66734
YGR240C,5.98016,126,112,0.91499
YGR241C,6.28864,53,48,0.65936
YGR242W,6.0921,8,8,1.28264
YGR243W,10.49005,5,17,1.97756
YGR244C,7.08881,56,56,0.48006
YGR245C,6.49847,126,122,0.61616
YGR246C,6.47943,94,90,0.5084
YGR247W,7.07513,24,24,1.39125
YGR249W,9.49359,28,40,0.84725
YGR250C,5.18671,104,75,1.18616
YGR252W,6.22638,68,64,0.97232
YGR253C,4.66583,47,26,0.62184
YGR254W,6.15509,56,51,0.87653
YGR255C,6.52496,55,53,1.04966
YGR256W,6.84137,57,56,1.24439
YGR258C,5.07953,183,148,0.76182
YGR260W,6.41791,51,49,1.37817
YGR261C,5.57074,106,90,0.92963
YGR262C,8.81439,31,35,1.52843
YGR263C,7.16522,42,42,1.14225
YGR264C,6.15497,96,86,1.4578
YGR266W,6.39532,93,85,1.65859
YGR267C,6.72284,33,32,0.58717
YGR268C,9.36407,14,24,1.57701
YGR269W,9.71637,9,17,0.84247
YGR270W,5.06854,247,192,0.54147
YGR271W,6.1557,251,227,0.8985
YGR274C,7.00824,147,145,0.77228
YGR275W,5.52264,24,22,1.43669
YGR276C,6.75372,79,77,0.62277
YGR277C,5.89447,37,30,0.81414
YGR278W,6.409,83,79,0.73165
YGR279C,4.70905,37,24,1.39336
YGR280C,9.87933,46,73,0.92986
YGR281W,7.70953,177,179,0.89803
YGR282C,4.32465,39,20,1.98955
YGR283C,9.32587,34,48,0.95003
YGR284C,9.63873,14,29,1.56216
YGR285C,8.18439,80,82,0.94932
YGR289C,5.51093,57,52,1.74347
YGR290W,7.67755,9,10,1.44945
YGR291C,9.36871,7,12,0.39694
YGR292W,5.47406,88,72,2.19353
YGR294W,5.13422,10,7,1.24265
YGR295C,9.11896,43,53,2.36702
YGR296W,6.93597,235,232,1.0713
YHL002W,5.99493,58,52,0.88077
YHL003C,9.0036,37,45,1.99953
YHL004W,8.73688,45,48,0.84618
YHL006C,7.88519,14,15,1.58027
YHL007C,6.89313,112,110,0.53922
YHL009C,5.04364,54,41,0.63905
YHL010C,6.11786,90,82,0.87167
YHL011C,8.51141,38,41,0.27233
YHL015W,9.52057,15,20,0.60977
YHL017W,4.54523,65,35,1.52446
YHL018W,8.73834,15,17,2.28826
YHL019C,6.40509,89,85,0.83477
YHL020C,5.0274,69,51,0.50842
YHL021C,7.20135,52,52,0.8598
YHL022C,9.3631,34,51,0.66348
YHL023C,5.94159,154,132,0.74189
YHL024W,5.492,93,71,0.89623
YHL025W,5.4444,47,37,0.66465
YHL026C,6.71002,28,27,1.63074
YHL027W,6.82513,64,62,0.77032
YHL030W,6.15533,211,199,0.78371
YHL031C,9.47736,21,27,0.77694
YHL032C,8.26617,81,85,1.58212
YHL033C,10.03778,23,48,0.8194
YHL034C,5.48126,54,45,0.13929
YHL035C,8.72821,159,175,1.13824
YHL036W,8.93805,32,41,1.41746
YHL039W,6.25287,68,65,1.27017
YHL042W,8.88141,15,19,0.91603
YHL043W,8.88287,19,23,2.1422
YHL044W,8.09503,23,25,1.21366
YHL045W,8.63275,9,13,1.49535
YHL046C,5.13422,10,7,1.23685
YHL047C,8.51691,48,53,2.00279
YHL048W,8.50543,47,51,2.30171
YHL049C,9.15143,34,43,0.54404
YHR001W,6.72247,60,58,1.09318
YHR003C,6.3642,62,59,1.17639
YHR005C,7.5025,68,69,0.78354
YHR005C-A,5.31061,10,9,0.48231
YHR007C,8.75824,56,62,1.35393
YHR008C,8.49176,22,24,1.7477
YHR009C,5.52008,68,50,1.03197
YHR011W,8.91937,54,63,0.89999
YHR012W,4.56049,47,28,0.75922
YHR013C,4.76813,42,25,0.85607
YHR014W,9.58698,29,42,0.63029
YHR015W,9.48163,72,102,0.67915
YHR016C,7.7464,61,62,1.02011
YHR018C,5.46625,66,52,0.99714
YHR019C,5.59589,81,70,0.92266
YHR020W,6.01678,94,86,1.27175
YHR022C,6.52533,31,30,0.73373
YHR023W,6.05536,311,291,0.65813
YHR024C,5.94061,54,47,0.88213
YHR025W,5.26324,37,30,0.73336
YHR026W,8.3902,11,13,1.34031
YHR027C,4.52203,174,88,0.73239
YHR030C,5.16315,66,47,0.82565
YHR033W,5.71014,51,42,0.70983
YHR034C,5.62958,58,50,0.96536
YHR035W,8.84528,63,77,0.93007
YHR038W,9.83624,29,46,0.11759
YHR039C,7.80011,60,62,1.21705
YHR039C-A,8.96136,21,24,0.23441
YHR040W,5.75946,64,55,0.81827
YHR041C,5.23834,26,20,0.81681
YHR042W,5.03046,89,65,0.88875
YHR043C,5.49542,33,29,0.95031
YHR044C,5.19098,34,28,1.06256
YHR045W,6.63544,59,58,1.32307
YHR046C,5.14508,38,30,1.71298
YHR047C,5.14801,114,88,1.61497
YHR048W,8.97516,35,45,1.45218
YHR049W,5.92633,34,29,0.89744
YHR050W,5.66388,46,38,0.90626
YHR051W,5.79681,25,23,0.69458
YHR052W,8.80145,57,62,0.54186
YHR053C,5.68085,8,7,0.22555
YHR056C,8.32672,89,94,0.54977
YHR057C,5.73615,27,23,1.24448
YHR058C,5.19952,29,24,1.04758
YHR059W,10.28973,11,27,1.37953
YHR060W,5.44366,29,26,0.97379
YHR061C,6.07513,42,37,0.41688
YHR062C,9.75934,25,39,0.46363
YHR063C,6.21613,44,41,0.86395
YHR064C,4.93695,78,55,0.40576
YHR065C,9.22052,65,77,0.37566
YHR066W,9.28204,73,85,0.14875
YHR067W,8.94196,30,37,1.29195
YHR068W,5.50128,55,46,1.07841
YHR069C,5.8642,41,36,0.98321
YHR070W,9.00055,53,63,0.697
YHR071W,9.42023,22,33,1.25365
YHR072W,6.16046,81,72,1.85689
YHR072W-A,10.16327,5,12,0.67364
YHR073W,8.67377,132,140,1.06331
YHR074W,6.10931,87,79,1.17277
YHR075C,6.56451,47,45,1.1012
YHR076W,6.16315,44,42,0.85319
YHR077C,4.99469,209,161,0.64148
YHR078W,7.03888,50,50,1.3203
YHR079C,6.14484,144,132,0.81796
YHR079C-A,6.35016,17,17,0.69962
YHR081W,9.58344,28,39,0.354
YHR082C,6.11017,134,116,0.85215
YHR083W,6.71136,35,34,0.79885
YHR084W,5.46771,83,71,0.97674
YHR085W,9.53998,36,52,0.58244
YHR086W,8.59113,29,33,0.99278
YHR087W,5.04877,17,14,0.49628
YHR088W,9.47455,44,55,0.49956
YHR089C,11.45856,13,39,0.22556
YHR090C,8.25067,46,49,0.65652
YHR091C,9.41266,64,84,1.0925
YHR092C,6.28168,49,47,1.75037
YHR094C,7.38824,40,41,1.76192
YHR096C,7.78265,49,51,1.69923
YHR097C,9.90399,41,60,0.14965
YHR098C,5.86542,94,80,0.70082
YHR099W,6.11237,452,410,0.97842
YHR102W,8.12189,103,106,0.61259
YHR103W,8.12677,105,108,0.81885
YHR105W,8.37421,26,28,1.27061
YHR106W,6.41376,38,36,0.67167
YHR107C,7.76678,58,59,0.6782
YHR108W,6.06476,65,59,0.49381
YHR109W,4.88068,92,61,0.91926
YHR110W,6.31708,29,27,0.61612
YHR111W,6.12323,53,49,0.69701
YHR112C,5.57587,50,39,1.06456
YHR113W,6.53424,59,55,0.69038
YHR114W,5.69525,95,85,1.06491
YHR115C,6.31964,45,41,0.57899
YHR117W,5.83551,84,77,0.56683
YHR118C,8.15704,64,67,0.92962
YHR119W,9.0567,147,170,0.75583
YHR120W,8.90582,116,131,0.72198
YHR121W,9.40521,23,30,0.7317
YHR122W,4.55634,45,23,0.07264
YHR123W,6.04169,28,23,1.73993
YHR124W,6.19025,88,82,0.61207
YHR127W,10.47284,22,43,0.51527
YHR128W,5.586,30,27,0.63125
YHR129C,5.39691,47,42,1.47029
YHR130C,6.48566,8,7,1.42088
YHR132C,5.11627,61,41,2.069
YHR133C,8.93781,21,26,1.06848
YHR135C,9.09625,53,63,0.94402
YHR136C,5.95074,21,18,1.27263
YHR137W,5.33539,65,55,1.26523
YHR138C,4.88019,17,11,0.71085
YHR140W,9.65924,10,23,1.64299
